id,title,authors,abstract,url,hall,booth,url-embed
PO1006,Did You Do Well? Real-Time Personalized Feedback on Catheter Placement in Augmented Reality-assisted Neurosurgical Training,Sangjun Eom: Duke University; Tiffany Ma: Duke University; Neha Vutakuri: Duke University; Alexander Du: Duke University; Zhehan Qu: Duke University; Joshua Jackson: Duke University; Maria Gorlatova: Duke University,External ventricular drain (EVD) is a common neurosurgical procedure often performed by junior trainees to relieve pressure buildup inside the brain by inserting a catheter to drain fluid. We demonstrate an AR-assisted neurosurgical training tool that provides real-time personalized feedback to trainees based on their manipulation of the surgical environment and their eye gaze patterns. We showcase how real-time AR feedback can assist trainees in improving their EVD performances.,https://youtu.be/OZPHnL2tNqY,Sorcerer's Apprentice Ballroom,,OZPHnL2tNqY
PO1009,A Prototype Study on External Human Machine Interface (HMI) for Automated Bus - Preliminary Testing for Effectiveness Verification Using Virtual Reality (VR),Sota Suzuki: National Institute of Advanced Industrial Science and Technology; Yanbin Wu: National Institute of Advanced Industrial Science and Technology; Toru Kumagai: National Institute of Advanced Industrial Science and Technology(AIST); Masaki Masuda: National Institute of Advanced Industrial Science and Technology; Koya Takahashi: National Institute of Advanced Industrial Science and Technology; Naohisa Hashimoto: National Institute of Advanced Industrial Science and Technology; Satoru Ogino: AIST/Tokyo University of Science,"Unmanned autonomous vehicles face the issue of losing the communication that previously existed between drivers. External HMI is one of the solutions to this problem. In this study, we are developing external HMI using two VR environments, real-world settings, and actual prototypes. At the demonstration venue, participants can experience driving within the created VR environments.",https://youtu.be/e1XmArzi4Kg,Sorcerer's Apprentice Ballroom,,e1XmArzi4Kg
PO1015,Navigating Realities: Assessing Cross-Reality Transitions Through a Spatial Memory Game in VR and AR Environments,Nico Feld: Trier University; Pauline Bimberg: University of Trier; Benjamin Weyers: Trier University; Daniel Zielasko: University of Trier,"This tech demo offers an immersive exploration of the most prominent scene transitions within the Reality-Virtuality Continuum (RVC). It delves into the seamless integration of real and virtual worlds, showcasing a spectrum of environments ranging from entirely real to fully virtual and various transitions to switch between them. Our innovative approach centers around an engaging cross-environmental spatial memory game. This game is not just a playful experience but a carefully crafted task d...",https://www.youtube.com/watch?v=xg8D7YIv03E,Sorcerer's Apprentice Ballroom,,xg8D7YIv03E
PO1021,Demonstrating Virtual Streamer with Conversational and Tactile Interaction,Vaishnavi Josyula: The University of Texas at Dallas; Sowresh Mecheri-Senthil: The University of Texas at Dallas; Abbas Khawaja: The University of Texas at Dallas; Jose M. Garcia: The University of Texas at Dallas; Ayush Bhardwaj: The University of Texas at Dallas; Ashish Pratap: The University of Texas at Dallas.edu; Jin Ryong Kim: The University of Texas at Dallas,"This paper introduces an approach to an interactive virtual streamer that provides conversational and tactile interactions, demonstrating levels of immersion and personalization for the user. User interaction is categorized into various types, such as the spatial nature of the virtual streamer's stream, along with conversational and tactile interactions with the streamer. We demonstrate the virtual streamer in VR and conclude the efficiency of user interactions with the virtual streamer.",https://youtu.be/RLnOVrxDAzI,Sorcerer's Apprentice Ballroom,,RLnOVrxDAzI
PO1028,ElectricalVRSki: Switching of Ankle Tendon Electrical Stimulation for Dynamic Modulation of Ground Shape Perception,Takashi Ota: The University of Tokyo; Keigo Matsumoto: The University of Tokyo; Kazusa Aoyama: Gunma University; Tomohiro Amemiya Ph.D.: The University of Tokyo; Takuji Narumi: the University of Tokyo; Hideaki Kuzuoka: The University of Tokyo,"This demonstration introduces ElectricalVRSki, a VR skiing application using ankle tendon electrical stimulation (TES) that presents various ground shape perceptions, dynamically. The novelty of our dynamic sensory presentation system is its employment of ankle TES, which can be controlled dynamically using a computer and its controller are small and lightweight.",https://youtu.be/CH9P-9MseO8,Sorcerer's Apprentice Ballroom,,CH9P-9MseO8
PO1032,An Eye-tracked XR Visual Deficit Simulation Suite for Ocular Disease Education and Assisted Diagnosis,Jason Orlosky: Augusta University; Tommy Bui: Augusta University; Nicole Winston: Augusta University; Wanda Jirau-Rosaly: Augusta University; Shilpa Brown: Augusta University,"In this demo, we present a suite of visual deficits implemented in both augmented and virtual reality to assist with education and diagnosis of ocular disorders and deficits. We use eye tracking to better simulate the difficulties in diseases such as macular degeneration, diabetic retinopathy, retinal tears, and other gaze-dependent deficits. Virtual reality (VR) and video see-through augmented reality (VST AR) will give users a unique perspective of life through the eyes of patients.",https://www.youtube.com/watch?v=9kRilVoQxgI,Sorcerer's Apprentice Ballroom,,9kRilVoQxgI
PO1039,Low-Fi VR Controller: Bringing 6DOF Interaction to Mobile VR,Kristen Grinyer: Carleton University; Robert J Teather: Carleton University,"As virtual reality (VR) becomes an everyday technology, it is important that it remains broadly accessible and affordable. Mobile VR is low-cost and accessible to everyone with a smartphone, but it does not support a 6 degrees of freedom (6DOF) input device nor an effective method to select objects. Our Low-Fi VR Controller is a paper-based 6DOF input device for mobile VR that supports selection via pointing and virtual hand. This demo allows users to test the controller using both techniques.",https://youtu.be/_lh72AQiC_k,Sorcerer's Apprentice Ballroom,,_lh72AQiC_k
PO1040,Demonstrating Mid-Air Ultrasound Haptics with Thermal Display,Yatharth Singhal: University of Texas at Dallas; Haokun Wang: University of Texas at Dallas; Jin Ryong Kim: University of Texas at Dallas,"We present a mid-air thermo-tactile display system utilizing ultrasound haptics. Our proof-of-concept design features an open-top chamber, heat modules, and an ultrasound haptic display. The system is demonstrated in four VR environments (campfire, water fountain, kitchen, and candle), showcasing the immersive user experiences achieved through the integration of thermal and tactile feedback.",https://youtu.be/bXQNEbId1vI,Sorcerer's Apprentice Ballroom,,bXQNEbId1vI
PO1042,RoboART: Artistic Robot Programming in Mixed Reality,Felipe Fronchetti: Virginia Commonwealth University; Miles Popiela: Virginia Commonwealth University; Rodrigo O Spinola: Virginia Commonwealth University; Shawn Alan Brixey: Virginia Commonwealth University,"To enable artists to incorporate robots in their projects, we propose an end-user-friendly robot programming solution using an intuitive spatial computing environment designed for Microsoft Hololens 2. In our application, the robot movements are synchronized with a hologram via network communication. Using natural hand gestures, users can manipulate, animate, and record the hologram similar to 3D animation software, including the advantages of mixed reality interaction.",https://www.youtube.com/watch?v=LXDUrxYXdPw,Sorcerer's Apprentice Ballroom,,LXDUrxYXdPw
PO1046,The Owl: Virtual Teleportation through XR,Alvaro Villegas: Nokia; Ester Gonzalez-Sosa: Nokia; Pablo Perez: Nokia; Juan Torres: Nokia,"The Owl is a prototype of our Virtual Teleportation using XR and immersive video. It combines VR goggles, a reality capture device built with off-the-shelf components and a back-end running on a highly capable network. Participants feel present at a distant location and can interact with people present there, as well as with other remote teleported visitors. Field tested in many different scenarios, we belive it can be the foundation of the next generation human communication applications.",https://youtu.be/YUa8QjFHGlA,Sorcerer's Apprentice Ballroom,,YUa8QjFHGlA
