id,authors,title,abstract
P1002,Stephen Palmisano: University of Wollongong; Vanessa Morrison: University of Wollongong; Robert Allison: York University; Rodney Davies: University of Wollongong; Juno Kim: University of New South Wales,Effects of constant and sinusoidal display lag on sickness during active exposures to virtual reality,"When we move our heads in virtual reality (VR), display lag creates differences between our virtual and physical head pose (DVP). This study examined whether objective estimates of these DVP could be used to predict the sickness caused by different types of lag. We found that adding constant and time-varying lag to simulations generated similar levels of sickness - with all added lag conditions producing more severe sickness than our baseline control. Consistent with the DVP hypothesis, the spatial magnitude and temporal dynamics of the DVP were both found to predict cybersickness severity during active HMD VR."
P1003,Stephen Palmisano: University of Wollongong; Shao Yang Chia: University of Wollongong,Display lag effects on postural stability and cybersickness during active exposures to HMD virtual reality,"This study examined whether a person's spontaneous postural sway before, and their head-movements during, exposure to virtual reality (VR) predicts their experiences of cybersickness. We compared the stability of head and body movements made by 50 HMD users to the sickness they experienced during VR simulations with different amounts of display lag. Consistent with Postural Instability Theory, we found that: 1) naturally unstable participants were significantly more likely to become sick during these laggy simulations; and 2) the severity of this sickness depended on the spatial magnitude and the temporal dynamics of their head movements during active HMD VR."
P1005,Xiaonuo Dongye: Beijing Institute of Technology; Dongdong Weng: Beijing Institute of Technology; Haiyan Jiang: Beijing Institute of Technology; Pukun Chen: Beijing Institute of Technology,Learning Personalized Agent for Real-Time Face-to-Face Interaction in VR,"Interactive agents in virtual reality are anticipated to make decisions and provide feedback based on the user's inputs. Despite recent advancements in large language models (LLMs), employing LLMs in real-time face-to-face interactions decision-making, and delivering personalized feedback remains challenging. To address this, our proposed system involves generating and labeling symbolic data, pre-training a real-time network, collecting personalized data, and fine-tuning the network. Utilizing inputs such as interaction distances, head orientations, and hand poses, the agents can provide personalized feedback. User experiments show significant advantages in both pragmatic and hedonic aspects over LLM-based agents, suggesting potential applications across diverse interactive domains."
P1008,Youjin Sung: KAIST; DongKyu Kwak: Kaist; Taeyeon Kim: KAIST; Woontack Woo: KAIST ; Sang Ho Yoon: KAIST,Deep-Texture: A Foldable Haptic Ring for Shape and Texture Rendering in Virtual Reality,"In this paper, we suggest a foldable device that renders the shape and texture in Virtual Reality called Deep-Texture. We devised Deep-Texture to achieve effective haptic feedback with lightweight hardware by combining the basic sensations of shape and texture. By integrating the frequency change of linear resonant actuator and 1-bar mechanism, we propose a novel haptic interaction device for immersive VR experiences. During the pilot test, the results show that it enhances realism while keeping usability. By open-sourcing Deep-Texture, we aim to empower a wider range of users to engage with and benefit from haptic technology, ultimately lowering the hurdles."
P1010,Julian Kreimeier: Friedrich-Alexander University Erlangen-Nürnberg; Hannah Schieber: Friedrich-Alexander University; Noah Lewis: Friedrich-Alexander University Erlangen-Nürnberg; Max Smietana: Friedrich-Alexander University Erlangen-Nürnberg; Juliane Reithmeier: Friedrich-Alexander-Universität Erlangen-Nürnberg; Vlad Cnejevici: Friedrich-Alexander University Erlangen-Nürnberg; Prathik Prasad: Friedrich-Alexander University Erlangen-Nürnberg; Abdallah Eid: Friedrich-Alexander University Erlangen-Nürnberg; Maximilian Maier: Kinfinity; Daniel Roth: Technical University of Munich,Towards Continuous Patient Care with Remote Guided VR-Therapy,"Hand motor impairments heavily impact a people's independence and and overall well-being. Physiotherapy plays a crucial role after surgical interventions. Given the shortage of personnel and therapy session availability, enabling support and monitoring during the absence of the physiotherapist is a key future direction of medical care. Virtual reality has been shown to support the rehabilitation. An individualized and motivating rehabilitation process is crucial to support the affected person until full recovery. We present a prototype of a VR rehabilitation system that allows for the medical expert to control exercise planning and receive a detailed report on the patients success."
P1012,Daniele Giunchi: University College London; Riccardo Bovo: Imperial College London; Nitesh Bhatia: Imperial College London; Thomas Heinis: Imperial College; Anthony Steed: University College London,Fovea Prediction Model in VR,"We propose a lightweight deep learning approach for gaze estimation that represents the visual field as three distinct regions: fovea, near, and far peripheral. Each region is modelled using a gaze parameterization gaze regarding angle-magnitude, latitude, or a combination of angle-magnitude-latitude. We evaluated how accurately these representations can predict a user's gaze across the visual field when trained on data from VR headsets. Our experiments confirmed that the latitude model generates gaze predictions with superior accuracy with an average latency compatible with the demanding real-time functionalities of an untethered device. We generated an outperforming ensemble model with a comparable latency."
P1014,Katherine Hartley: University of Florida; Victoria Interrante: University of Minnesota,Exploring the Gap between Real and Virtual Nature,"We describe the design and preliminary findings of an experiment that aims to elucidate the cost of omitting accurate haptic and olfactory stimulation from VR nature immersion experiences. Across four separate sessions, participants are immersed in virtual urban and forest environments, while seated both outside in real nature and indoors, with the correspondence of virtual environment to real environment and the order of presentation counterbalanced. We compare multiple restorative outcome measures between the four conditions, including physiological data (EDA and HR), subjective surveys of stress and contentment, and objective performance on tests of visual and auditory attentional resources."
P1024,Yen-Ru Chen: National Tsing Hua University; Tsung-Hsun Tsai: National Tsing Hua University; Tica Lin: Harvard University; Calvin Ku: National Tsing Hua University; Min-Chun Hu: National Tsing Hua University; Hung-Kuo Chu: National Tsing Hua University,"DepBoxia: Depth Perception Training in Boxing, an Immersive Approach","Depth perception is crucial in novice boxer training for understanding punch timing and distance. Traditional methods rely on coach support and teamwork, leading to a high entry barrier for novice boxers to train whenever or wherever. To address this, we propose an immersive training system using virtual reality (VR) that integrates visual and audio guidance, specifically designed to enhance depth perception in boxing for novice boxers. Our rigorous experiment shows significant improvements in accuracy and reaction time. We introduce the system to professional boxing coaches, enabling them to integrate a systematic approach to training novice boxers' depth perception."
P1028,Zeyu Tian: Beijing Institute of Technology; Dongdong Weng: Beijing Institute of Technology; Hui Fang: Beijing Institute of Technology; Hanzhi Guo: Beijing Institute of Technology; Yihua Bao: Beijing Institute of Technology,4D Facial Capture Pipeline Incorporating Progressive Retopology Approach,"The pipeline for creating high-fidelity facial models often utilizes multi-view stereo techniques for reconstruction. However, the subsequent step of retopology often involves intricate manual work, limiting the extension of facial capture systems towards 4D acquisition. This paper proposes a facial 4D capture pipeline based on high-speed cameras. We employ standard multi-view stereo techniques for 3D reconstruction. Non-linear deformations of facial expressions are decoupled from rigid movements of the skull using QR code markers. Additionally, a progressive automated retopology approach is introduced for batch processing. Results demonstrate that our system can capture continuous facial motion sequences with detailed 3D models."
P1029,Esen Küçüktütüncü: Institute of Neurosciences of the University of Barcelona; Ramon Oliver: Institute of Neurosciences of the University of Barcelona; Mel Slater: Institute of Neurosciences of the University of Barcelona,Influence of Prior Acquaintance on the Shared VR Experience,"Exploring social dynamics in virtual reality (VR) at a qualitative level holds great potential for improved applications Here we examined the influence of prior acquaintance on how people interacted with each other in VR. Groups of 3 or 4 participants, represented by realistic look-alike avatars, engaged in discussions on predefined themes. There were two conditions: (1) groups of individuals with prior connections and (2) strangers. Questionnaire responses revealed that pre-existing acquaintances fostered a stronger sense of copresence, and greater sentiment compared to the strangers group. This insight is crucial for optimizing the design and dynamics of VR interactions."
