id,session,type,title,discord-channel,url-ieeevr-explore
P1096,TU2H,Journal,ViComp: Video Compensation for Projector-Camera Systems,,
P1121,TU2H,Journal,Projection Mapping under Environmental Lighting by Replacing Room Lights with Heterogeneous Projectors,,
P1606,TU2H,Journal,Projection Mapping with a Brightly Lit Surrounding Using a Mixed Light Field Approach,,
P2001,TU2H,Journal,Real-time Seamless Multi-Projector Displays on Deformable Surfaces,,
P2043,TU2H,Journal,Towards Co-operative Beaming Displays: Dual Steering Projectors for Extended Projection Volume and Head Orientation Range,,
P3006,TU2H,Invited Journal,3D Gamut Morphing for Non-Rectangular Multi-Projector Displays,,
P1561,WE2G,Journal,Instant Segmentation and Fitting of Excavations in Subsurface Utility Engineering,,
P1811,WE2G,Conference,ConnectVR: A Trigger-Action Interface for Creating Agent-based Interactive VR Stories,,
P2038,WE2G,Journal,HoloCamera: Advanced Volumetric Capture for Cinematic-Quality VR Applications,,
P3002,WE2G,Invited Journal,"Toward More Comprehensive Evaluations of 3D Immersive Sketching, Drawing, and Painting",,
P1153,WE2H,Conference,EyeShadows: Peripheral Virtual Copies for Rapid Gaze Selection and Interaction,,
P1189,WE2H,Conference,Selection Performance and Reliability of Eye and Head Gaze Tracking Under Varying Light Conditions,,
P1726,WE2H,Journal,Eye-hand Typing: Eye Gaze Assisted Finger Typing via Bayesian Processes in AR,,
P1392,WE2H,Conference,GazePuffer :Hands-Free Input Method Leveraging Puff Cheeks for VR,,
P1006,TU2J,Conference,"Asynchronously Assigning, Monitoring, and Managing Assembly Goals in Virtual Reality for High-Level Robot Teleoperation",,
P1602,TU2J,Conference,Exploring Bi-Manual Teleportation in Virtual Reality,,
P1733,TU2J,Conference,BaggingHook: Selecting Moving Targets by Pruning Distractors Away for Intention-Prediction Heuristics in Dense 3D Environments,,
P1936,TU2J,Conference,SkiMR: Dwell-free Eye Typing in Mixed Reality,,
P2080,TU2J,Conference,Real-Virtual Objects: Exploring Bidirectional Embodied Tangible Interaction with a Virtual Human in World-Fixed Virtual Reality,,
P2082,TU2J,Conference,Comparing Physics-based Hand Interaction in Virtual Reality: Custom Soft Body Simulation vs. Off-the-Shelf Integrated Solution,,
P1012,TU3G,Journal,PreVR: Variable-Distance Previews for Higher-Order Disocclusion in VR,,
P1242,TU3G,Journal,"Handwriting for Text Input and the Impact of XR Displays, Surface Alignments, and Sentence Complexities",,
P1315,TU3G,Journal,IntenSelect+: Enhancing Score-Based Selection in Virtual Reality,,
