id,authors,title,abstract
P1127,Pablo Perez: Nokia; Marta Orduna: Nokia Spain; María Nava-Ruiz: Fundación Juan XXIII; Javier Martín-Boix: Fundación Juan XXIII,Using immersive video to recall significant musical experiences in elderly population with intellectual disability,"Comodia Elderly project studies the use of immersive video inelderly population with intellectual disability. Participants in the project took part in live concerts, which were recorded with a 180-degree stereoscopic camera. Recording were visualized in succesive sessions of virtual reality video. Preliminary results show a high level of spacial and social presence, assessed both from adapted questionnaires and for external observation of observable signs."
P1128,Eric DeMarbre: Carleton University; Robert J Teather: Carleton University,Target Selection with Avatars in Mixed Reality,"This poster presents a Fitts' law experiment evaluating the effects of using an avatar in mixed and virtual reality selection tasks. The avatar had little to no impact on efficiency and surprisingly lowered overall accuracy in both the 2D plane and depth. However, the avatar also reduced variability in depth selection. Avatar design and specific MR hardware parameters may significantly impact efficiency, especially compared to VR devices."
P1130,Gabriel Fernandes Cyrino: Federal University of Uberlândia; Claudemir José Alves: Federal University of Uberlândia; Gerson FlÌÁvio Mendes de Lima: Federal University of Uberlândia; Edgard Afonso Lamounier Jr.: Federal University of Uberlândia; Alexandre Cardoso: Federal University of Uberlândia; Ana Marotti: Eletrobras; Ricardo Oliveira: Eletrobras,Georeferenced 360-Degree Photos for Enhancing Navigation and Interaction within Virtual Electric Power Substations,"This work introduces a methodology for improving virtual navigation and interaction within power substations by employing georeferenced 360-degree photos. The objective is to swiftly update the current state of the field since, in most cases, incorporating such amendments is not feasible during the reconstruction of virtual environments. This changing speed is very important for critical systems. Preliminary results demonstrate successful updating rates, enabling engineers to make rapid decisions. It is expected that the proposed methodology can improve the efficiency and dependability of step-by-step activities, while also reducing the time and costs associated with system maintenance."
P1131,Omar Khan: University of Calgary; Anh Nguyen: University of Calgary; Michael Francis: University of Calgary; Kangsoo Kim: University of Calgary,Exploring the Impact of Virtual Human and Symbol-based Guide Cues in Immersive VR on Real-World Navigation Experience,"In this paper, we explore how navigation performance and experience in a real-world indoor environment is impacted after learning the route from various guide cues in a replicated immersive virtual environment. A guide system, featuring two distinct audiovisual guide representations—a human agent guide and a symbol-based guide—was developed and evaluated through a preliminary user study. The results do not show significant differences between the two guide conditions, but offer insight into the user-perceived confidence and enjoyment of the real-world navigation task after experiencing the route in immersive virtual reality. We discuss the results and direction of future research."
P1132,Pascal Martinez Pankotsch: University of Würzburg; Sebastian Oberdörfer: University of Würzburg; Marc Erich Latoschik: University of Würzburg,Effects of Nonverbal Communication of Virtual Agents on Social Pressure and Encouragement in VR,"Our study investigated how virtual agents impact users in challenging VR environments, exploring if nonverbal animations affect social pressure, positive encouragement, and trust in 30 female participants. Despite showing signs of pressure and support during the experimental trials, we could not find significant differences in post-exposure measurements of social pressure and encouragement, interpersonal trust, and well-being. While inconclusive, the findings suggest potential, indicating the need for further research with improved animations and a larger sample size for validation."
P1133,Wenchen Guo: Peking University; Guoyu Sun: Communication University of China; Wenbo Zhao: Communication University of China; Zhirui Chen: University of Chinese Academy of Social Sciences; Menghan Shi: Lancaster University; Weiyue Lin: Peking University,Flowing with Zen: Exploring Empowering the Dissemination of Intangible Cultural Heritage via Immersive Mixed Reality Spaces,"Zen is a treasure of the world's intangible cultural heritage (ICH), but nowadays it is facing difficulties in dissemination. This paper presents an immersive experience space Flowing with Zen by integrating HCI technology and MR. Audiences can explore and interact with the four scenarios, as well as meditate, and experience Zen philosophy. The pilot study shows that the MR space not only evokes users' interest and participation but also deepens their empathy or reflections. This innovative way of combining MR, ICH, and UX enhances the accessibility of Zen, and it may open up a new mode of dissemination for ICH."
P1134,Camille Isabella Protko: University of Central Florida; Ryan P. McMahan: University of Central Florida; Tiffany D. Do: University of Central Florida,Lessons Learned in Designing Racially Diverse Androgynous Avatars,"As virtual reality technology evolves, avatars play a crucial role in user representation, yet options for gender-diverse individuals remain limited. The goal of this research was to develop 14 racially diverse androgynous avatars using the design guidelines recommended in prior work. However, a perceptual experiment involving 68 participants revealed unexpected results, as most avatars were perceived as predominantly masculine. Additionally, our results yielded discrepancies in perceived gender across different racial identities, as the same design process resulted in widely varying perceptions. Despite these challenges, our research highlights the importance of continued exploration to improve the creation of inclusive avatars."
P1135,Sara Saint-Pierre Cote: École de technologie supérieure,Sexual Presence in Virtual Reality: A Psychophysiological Exploration,"The increasing use of immersive technologies for sexual purposes raises questions about their capacity to enhance a unique aspect of presence—Sexual Presence (SP). Investigating this phenomenon hinges on our ability to measure it accurately. This paper improves our understanding of SP by identifying potential quantitative electroencephalography variables associated with SP. Twelve heterosexual cisgender males were exposed to virtual scenarios featuring sexual content performed by a Virtual Character (VC). After viewing, participants completed a Sexual Presence questionnaire. A correlation was observed between self-reported SP and the alpha band activity in the frontal and parietal regions."
P1138,Sahil Deshpande: Indraprastha Institute of Information Technology - Delhi (IIITD); Yaksh Patel Yaksh: Indraprastha Institute of Information Technology - Delhi (IIITD); Rahul Ajith: Indraprastha Institute of Information Technology - Delhi (IIITD); Anmol Srivastava: Indraprastha Institute of Information Technology Delhi,NavigAR: Enhancing Localized Space Navigation using Augmented Reality,"In this study, we use Augmented Reality (AR) to project and let users interact with a 3D-replicated model of a fenced space to understand how AR can improve navigation and enhance space retention by improving wayfinding via recall. We recreated a fenced space in 3D using Blender. Users can see their current position and, using onscreen buttons, see routes to their destinations. We found that users could associate the 3D models of the buildings with their real-world counterparts. We observed that users were better able to navigate the campus after using the application."
P1139,Asif Sijan: University of Minnesota Duluth; Peter Willemsen: University of Minnesota Duluth,Exploring Radiance Field Content Generation for Virtual Reality,Generating content for virtual reality takes effort and expanding how content can be generated has the potential to increase participation by a wider range of users well outside virtual reality researchers and programmers. This work explores some current content acquisition and generation techniques for replicating real world 3D scenes and objects to better understand the practical use and application of these techniques. The techniques explored focus on the recent emergence of radiance field-based methods and their potential to replace previous scene/object-generating techniques.
