id,authors,title,abstract
P1231,Vaishnavi Josyula: The University of Texas at Dallas; Sowresh MecheriSenthil: The University of Texas at Dallas; Abbas Khawaja: The University of Texas at Dallas; Jose M Garcia: The University of Texas at Dallas; Ayush Bhardwaj: The University of Texas at Dallas; Ashish Pratap: The University of Texas at Dallas; Jin Ryong Kim: The University of Texas at Dallas,Virtual Streamer with Conversational and Tactile Interaction,"This paper introduces an approach to an interactive virtual streamer that provides conversational and tactile interactions, offering insights into levels of immersion and personalization for the user. User interaction is categorized into various types, such as the spatial nature of the virtual streamer's stream, along with conversational and tactile interactions with the streamer. We deploy the virtual streamer in a VR environment and conclude the efficiency of user interactions with the virtual streamer via a scenario-based assessment."
P1233,Haiyan Jiang: Beijing Institute of Technology; Dongdong Weng: Beijing Institute of Technology; Xiaonuo Dongye: Beijing Institute of Technology,Affordance Maintenance-based 3D Scene Synthesis for Immersive Mixed Reality,"With the explosion of head-mounted displays into the commercial market, immersive scenes are being used in many applications. As these applications are usually used indoors, the user would suffer from safety and immersion issues when immersed in a virtual scene. Therefore, we propose a 3D synthesis method that synthesizes the 3D scene according to the affordance of physical objects and the intention of the user. The results show that virtual objects in synthetic scenes have the same affordances as physical objects in the real world and can provide interaction medium and feedback to the situated user and avoid collisions."
P1236,Danny Schott: Otto-von-Guericke University; Jonas Mandel: Otto-von-Guericke-Universität Magdeburg; Florian Heinrich: Otto-von-Guericke-Universität Magdeburg; Lovis Schwenderling: Otto-von-Guericke-University; Matthias Kunz: Clinic for Cardiology and Angiology; Rüdiger Braun-Dullaeus: Clinic for Cardiology and Angiology; Christian Hansen: Faculty of Computer Science,An AR-Based Multi-User Learning Environment for Anatomy Seminars,"Understanding the intricate and rapid changes in shape during embryonic formation is vital for medical students. Using the example of embryonic human heart development, we introduce an AR-based multi-user approach to enhance understanding and foster a participatory learning environment. Through a user-centered approach, we created a prototype accommodating two player roles and enabling multi-modal inputs to encourage dynamic group discussions. We invited four anatomy experts to evaluate three system configurations in an interdisciplinary workshop to assess integration feasibility into anatomy seminars. The gathered data and qualitative feedback indicate the potential of our collaborative concept for integration into the medical curriculum."
P1237,Taehei Kim: KAIST; Hyeshim Kim: KAIST; Jeongmi Lee: KAIST; Sung-Hee Lee: Korea Advanced Institute of Science and Technology,Evaluating User Perception Toward Pose-Changed Avatar in Remote Dissimilar Spaces,"In dissimilar telepresence environments, where spaces differ in size and furniture layouts, researchers have proposed methods to adjust avatar movement to deviate from the user's while still adapting to the physical environment. From this perspective, this poster aims to investigate users' perceptions and preferences toward their adjusted avatars. Especially, we propose an experiment focusing on pose standing and sitting which is the most common pose when talking to others. We describe the system setup and initial results that show how users perceive their avatars when their pose category is changed to avoid physics conflict."
P1241,Verena Biener: Coburg University of applied sciences and arts; Snehanjali Kalamkar: Coburg University of Applied Sciences and Arts; John J Dudley: University of Cambridge; Jinghui Hu: University of Cambridge; Per Ola Kristensson: University of Cambridge; Jörg Müller: University of Bayreuth; Jens Grubert: Coburg University,Working with XR in Public: Effects on Users and Bystanders,"Recent commercial virtual and augmented reality (VR/AR) devices have been promoted as tools for knowledge work. Their possibility to display virtual screens can be especially helpful in mobile contexts, in which users might not have access to multiple screens, for example, when working on a train. As using such devices in public is still uncommon, this motivates our study to better understand the implications of using AR and VR for work in public on users and bystanders.Therefore, we present initial results of a study in a university cafeteria comparing three different systems: a laptop with a single screen; a laptop combined with an optical see-through AR headset; a laptop combined with an immersive VR headset."
P1242,Lloyd Spencer Davis: University of Otago; Wiebke Finkler: University of Otago; Wei Hong Lo: University of Otago; Mary Rabbidge: Otago Boys Highschool; Lei Zhu: University of Otago; Stefanie Zollmann: University of Otago,360° Storytelling for Immersive Teaching Online and in the Classroom for Secondary and Tertiary Education,"In this work, we present the findings of a study designed to investigate the impact of 360° videos on student engagement and learning outcomes in both secondary and tertiary educational contexts. The research focused on two distinct scenarios: Teaching Science to Secondary School Students and Hybrid University Courses integrating On-campus and Distant Students. The study employed a multifaceted approach, combining video production, test protocols, and evaluations to assess the efficacy of 360° videos."
P1243,Robin Wiethüchter: ETH Zürich; Saikishore Kalloori: ETH Zürich ; David Lindlbauer: Carnegie Mellon University,Side-By-Side Might Win: Occlusion Negatively Affects The Performance Of Augmented Reality Task Instructions,"We compare different representations for Augmented Reality instructions for a combined pick & place and drawing task. Participants completed the task with instructions presented as 3D AR overlays, as 3D AR offset (side-by-side), or as 2D panels. Results indicate that participants preferred the 3D offset instructions, especially compared to 3D overlays. Our results stand in contrast to prior work where 3D overlays were preferred. Our work points at the need for the community to better define benchmarks and standardized tests to create guidelines for when to use what type of AR representation."
P1244,Kexin Wang: Beihang university; Yang Gao: Beihang university; wenfeng song: Beijing information science and technology university; Yuecheng Li: Beihang University; Aimin Hao: Beihang University,Gaze Pattern Genius: Gaze-Driven VR Interaction using Unsupervised Domain Adaption,"This poster advocates shifting VR interaction to gaze-driven interaction, a more intuitive alternative to traditional controls like VR controllers or gestures. Our focus is on enhancing neural network recognition accuracy, especially with limited user-specific gaze data. We introduce a novel framework for capturing gaze gesture patterns and propose a template dataset concept to boost neural training. Our domain adaptation model, blending template depth and sparse user data authenticity, consistently excels in recognizing gaze patterns across diverse users. Empirical user studies confirm: gaze-driven interactions not only elevate VR experiences but also redefine immersive VR control dynamics."
P1246,Huiwen Liu: China Institute of Water Resources and Hydropower Research; Yuan Wang: Beihang University; Dawei Zhang: China Institute of Water Resources and Hydropower Research,AR-based Dynamic Sandbox for Hydraulic Earth-rock Dam Break Simulation,"VR/AR-based hydraulic scenes holds significant value for geological disaster display. However, the river dynamics models prevalent in computational fluid dynamics (CFD) and hydraulics rely largely on pure numerical simulations, lacking intuitive visual representation. In contrast, current AR-based physical simulation methods often fail to incorporate hydraulic parameters adequately, falling short of the accuracy needed for real hydraulic models. This paper proposes integrating a precise numerical river dynamics model into a visual fluid-solid interaction simulation, which achieves a balance between a realistic visual simulation of dam breaks and the numerical accuracy aligned with river dynamics models, while maintaining high computational efficiency."
P1249,Stephen Saunders: Ontario Tech University; Alvaro Quevedo: Ontario Tech University; Winnie Sun: Ontario Tech University; Sheri Anne Horsburgh: Ontario Tech University,Asymmetric VR Chores: A Social Presence Preliminary Study,"VR applications focused on daily activities for health care focusing either physical or cognitive interventions continue gaining momentum as a result of consumer-level devices. However, interactions mainly focused on single user experiences with little research conducted on VR and asymmetric gameplay, which refers to the fact that players play the game using different media. This article presents a preliminary study focused on how the addition of asymmetry to a house chores VR game positively influences social presence when playing the game. Our motivation is driven by research that indicates that asymmetry in games increases communication and social connection."
